CompanyName,BusinessId,City,CompanyForm,Address,RegistrationDate
1693 Nima Nasiri Rased Oy,3103033-3,Helsinki,Osakeyhtiö (OY),"Turunlinnantie, 1, 00930, HELSINGFORS",2020-02-07
Qasa Oy,3103532-9,Helsinki,Osakeyhtiö (OY),"Keskuskatu, 1, 00100, HELSINGFORS",2020-01-29
Knot & Nord Oy,3103598-6,Helsinki,Osakeyhtiö (OY),"00811, HELSINGFORS",2020-01-13
Forlex Partners Oy,3103943-4,Helsinki,Osakeyhtiö (OY),"Lönnrotinkatu, 5, 00120, HELSINGFORS",2020-01-10
Psykoterapiapalvelu Modus Oy,3103958-1,Helsinki,Osakeyhtiö (OY),"Hämeentie, 153, 00560, HELSINGFORS",2020-01-13
Assum Capital Management Oy,3104060-3,Helsinki,Osakeyhtiö (OY),"Merikasarminkatu, 2, 00160, HELSINGFORS",2020-01-13
Lodzon Oy,3104356-4,Helsinki,Osakeyhtiö (OY),"Tuiskutie, 10, 00700, HELSINGFORS",2020-01-09
Digital Architects Helsinki Oy,3104412-9,Helsinki,Osakeyhtiö (OY),"Kartanontie, 22, 00330, HELSINGFORS",2020-01-17
FIN Konto Accounting OY,3104426-8,Helsinki,Osakeyhtiö (OY),"Hämeentie, 153, 00560, HELSINGFORS",2020-01-10
SmarterBiz Oy,3104461-2,Helsinki,Osakeyhtiö (OY),"Topeliuksenkatu, 16, 00250, HELSINGFORS",2020-01-20
Seppänen & Wigren Oy,3104596-5,Helsinki,Osakeyhtiö (OY),"Äetsäntie, 193, 32730, SASTAMALA",2020-01-08
YUMYUM BAKING OY,3104604-4,Helsinki,Osakeyhtiö (OY),"Laivurinkatu, 37, 00150, HELSINGFORS",2020-01-07
Weldfer Oy,3104688-8,Helsinki,Osakeyhtiö (OY),"pukinmäenaukio, 4, 00720, HELSINGFORS",2020-02-03
VISTA Installation Oy,3104721-5,Helsinki,Osakeyhtiö (OY),"Palovartijantie, 6, 00750, HELSINGFORS",2020-01-10
Kumina Holding Oy,3104769-6,Helsinki,Osakeyhtiö (OY),"Pohjoisesplanadi, 35, 00100, HELSINGFORS",2020-01-03
AMJ Consulting Oy,3104772-5,Helsinki,Osakeyhtiö (OY),"Mannerheimintie, 12, 00100, HELSINGFORS",2020-01-02
Sagax Finland Holding 19 Oy,3105016-6,Helsinki,Osakeyhtiö (OY),"Aleksanterinkatu, 19, 00100, HELSINGFORS",2020-01-08
Satnam Helsinki Oy,3105037-7,Helsinki,Osakeyhtiö (OY),"Pohjoiskaari, 36, 00200, HELSINGFORS",2020-01-10
AnSt Consulting Oy,3105112-6,Helsinki,Osakeyhtiö (OY),"Vartiokyläntie, 32, 00950, HELSINGFORS",2020-01-01
Greenful Finland OY,3105126-5,Helsinki,Osakeyhtiö (OY),"Pakilantie, 76, 00660, HELSINGFORS",2020-02-20
valscope oy,3105135-3,Helsinki,Osakeyhtiö (OY),"Lapinlahdenkatu, 16, 00180, HELSINGFORS",2020-01-03
enphi Oy,3105192-7,Helsinki,Osakeyhtiö (OY),"Döbelninkatu, 3, 00260, HELSINGFORS",2020-01-28
Entisöinti Huttunen Oy,3105287-4,Helsinki,Osakeyhtiö (OY),"Isonvillasaarentie, 3, 00960, HELSINGFORS",2020-01-27
Raylab Oy,3105533-8,Helsinki,Osakeyhtiö (OY),"Ilmattarenkuja, 22, 00610, HELSINGFORS",2020-01-01
Foulga Oy,3105548-5,Helsinki,Osakeyhtiö (OY),"Hernesaarenkatu, 11, 00150, HELSINGFORS",2020-01-14
Makujen Maailma Oy,3105557-3,Helsinki,Osakeyhtiö (OY),"Tyynylaavantie, 5, 00980, HELSINGFORS",2020-01-31
Asunto Oy Helsingin Vallilan Jemma,3105593-6,Helsinki,Osakeyhtiö (OY),"00101, HELSINGFORS",2020-05-31
Ravintola S.R. Oy,3105619-7,Helsinki,Osakeyhtiö (OY),"Karhusuontie, 75, 00780, HELSINGFORS",2020-01-13
Nordic Propartners Oy,3105622-6,Helsinki,Osakeyhtiö (OY),"Hollantilaisentie, 3, 00330, HELSINGFORS",2020-01-16
Kohta Taidehalli Oy,3105640-2,Helsinki,Osakeyhtiö (OY),"Työpajankatu, 2, 00580, HELSINGFORS",2020-02-24
Modiglia Oy,3105675-2,Helsinki,Osakeyhtiö (OY),"Maneesikatu, 2a, 00170, HELSINGFORS",2020-01-14
Air Palvelut Oy,3105685-9,Helsinki,Osakeyhtiö (OY),"Kankarepolku, 5, 00770, HELSINGFORS",2020-01-09
Kotona Asuen Franchising Oy,3105738-4,Helsinki,Osakeyhtiö (OY),"Niemenmäentie, 8, 00350, HELSINGFORS",2020-01-09
Köhler Kapital Oy,3105855-5,Helsinki,Osakeyhtiö (OY),"Oikokatu, 3, 00170, HELSINGFORS",2020-01-10
Superhero Venture Fund 2020 GP Oy,3105920-8,Helsinki,Osakeyhtiö (OY),"Lapinlahdenkatu, 16, 00180, HELSINGFORS",2020-01-02
Taaleri Vuokrakoti ARA II Oy,3105971-8,Helsinki,Osakeyhtiö (OY),"Firdonkatu, 2, 00520, HELSINGFORS",2020-01-08
Saintex Oy,3106162-3,Helsinki,Osakeyhtiö (OY),"Sirrikuja, 4, 00940, HELSINGFORS",2020-05-05
SusaSan Oy,3106165-8,Helsinki,Osakeyhtiö (OY),"Sirrikuja, 4, 00940, HELSINGFORS",2020-05-05
Sakebird Oy,3106205-2,Helsinki,Osakeyhtiö (OY),"Urho Kekkosen katu, 4-6, 00100, HELSINGFORS",2020-01-27
Nos Creative Oy,3106320-7,Helsinki,Osakeyhtiö (OY),"Tarkk'ampujankatu, 14, 00150, HELSINGFORS",2020-01-07
Ardour Oy,3106321-5,Helsinki,Osakeyhtiö (OY),"Urho Kekkosen katu, 4-6, 00100, HELSINGFORS",2020-01-02
Mr RedHill Media & Consulting Oy,3106355-7,Helsinki,Osakeyhtiö (OY),"Pursimiehenkatu, 7, 00150, HELSINGFORS",2020-01-13
Hemmafavören Oy Ab,3106436-5,Helsinki,Osakeyhtiö (OY),"Vattuniemenkatu, 2, 00210, HELSINGFORS",2020-01-08
Ristolainen Engineering Oy,3106487-5,Helsinki,Osakeyhtiö (OY),"Pohjoinen Rautatiekatu, 31, 00100, HELSINGFORS",2020-01-10
Administer Group Services Oy,3106561-6,Helsinki,Osakeyhtiö (OY),"Konepajankuja, 3, 00510, HELSINGFORS",2020-01-23
ISR-Palvelut Oy,3106598-2,Helsinki,Osakeyhtiö (OY),"autotallintie, 11, 00770, HELSINGFORS",2020-01-07
PE - Project Engineer Oy,3106600-2,Helsinki,Osakeyhtiö (OY),"Hitsaajankatu, 9, 00810, HELSINGFORS",2020-01-07
KitiMed Oy,3106782-2,Helsinki,Osakeyhtiö (OY),"Lauttasaarentie, 24, 00200, HELSINGFORS",2020-01-09
FitComm Oy,3106868-1,Helsinki,Osakeyhtiö (OY),"Henrikintie, 27, 00370, HELSINGFORS",2020-01-02
FINAL DECADE OY,3106939-3,Helsinki,Osakeyhtiö (OY),"Kulmakatu, 1, 00170, HELSINGFORS",2020-01-29
MW Holding Oy Ab,3106952-9,Helsinki,Osakeyhtiö (OY),"Korkeavuorenkatu, 27, 00130, HELSINGFORS",2020-01-13
ormc oy,3107018-3,Helsinki,Osakeyhtiö (OY),"Lampputie, 12, 00750, HELSINGFORS",2020-01-15
Easy EMR Oy,3107029-8,Helsinki,Osakeyhtiö (OY),"00701, HELSINGFORS",2020-01-07
Veil.ai Oy,3107134-6,Helsinki,Osakeyhtiö (OY),"Haartmaninkatu, 4, 00290, HELSINGFORS",2020-02-05
Bohemia Ventures Oy,3107136-2,Helsinki,Osakeyhtiö (OY),"Runeberginkatu, 67, 00260, HELSINGFORS",2020-01-02
TyVy Oy,3107210-3,Helsinki,Osakeyhtiö (OY),"Opastinsilta, 1, 00520, HELSINGFORS",2020-02-14
Phi & Phi Oy,3107214-6,Helsinki,Osakeyhtiö (OY),"Opastinsilta, 1, 00520, HELSINGFORS",2020-02-06
Good Taste Oy,3107215-4,Helsinki,Osakeyhtiö (OY),"Klaarantie, 9, 00200, HELSINGFORS",2020-10-19
Barrato Oy,3107237-3,Helsinki,Osakeyhtiö (OY),"Puroniityntie, 196, 00890, HELSINGFORS",2020-01-03
Ramarfin Oy,3107242-9,Helsinki,Osakeyhtiö (OY),"00201, HELSINGFORS",2020-01-16
GLD Holding Ab,3107252-5,Helsinki,Osakeyhtiö (OY),"Norra Esplanaden, 25, 00100, HELSINGFORS",2020-01-16
PandaMa Oy,3107256-8,Helsinki,Osakeyhtiö (OY),"Aleksis Kiven katu, 37, 00520, HELSINGFORS",2020-03-09
ELAPA Oy,3107369-1,Helsinki,Osakeyhtiö (OY),"Kauriintie, 5, 00740, HELSINGFORS",2020-01-08
Storbötet Vind Ab,3107457-1,Helsinki,Osakeyhtiö (OY),"Mikonkatu, 7, 00100, HELSINGFORS",2020-01-08
Tenhokki Oy,3107465-1,Helsinki,Osakeyhtiö (OY),"Pajalahdentie, 12, 00200, HELSINGFORS",2020-01-10
Armas aatos Oy,3107469-4,Helsinki,Osakeyhtiö (OY),"Kuusisaarenpolku, 4a, 00340, HELSINGFORS",2020-01-10
Lakiasiaintoimisto Lakiala Oy,3107475-8,Helsinki,Osakeyhtiö (OY),"Vilkmanintie, 7, 00680, HELSINGFORS",2020-02-04
The Fat Straw Oy,3107478-2,Helsinki,Osakeyhtiö (OY),"Rörstrandinkatu, 3, 00560, HELSINGFORS",2020-01-07
Local LKV Oy,3107585-7,Helsinki,Osakeyhtiö (OY),"Hollantilaisentie, 9, 00330, HELSINGFORS",2020-01-07
Maternus Oy,3107653-4,Helsinki,Osakeyhtiö (OY),"Kesäkatu, 2, 00260, HELSINGFORS",2020-01-22
Saltem Oy,3107689-2,Helsinki,Osakeyhtiö (OY),"Kruunuvuorenkatu, 2, 00160, HELSINGFORS",2020-01-30
Ilmatar Köyliö Oy,3107690-5,Helsinki,Osakeyhtiö (OY),"Kanavaranta, 1, 00160, HELSINGFORS",2020-01-14
Profiili Recruitment Oy,3107691-3,Helsinki,Osakeyhtiö (OY),"Vanha Helsingintie, 18, 00700, HELSINGFORS",2020-03-10
KIKbone Oy,3107759-6,Helsinki,Osakeyhtiö (OY),"Capellan puistotie, 19, 00580, HELSINGFORS",2020-01-10
"Asunto Oy Piispanportin Helmi, Espoo",3107777-2,Helsinki,Osakeyhtiö (OY),"Ulvilantie, 27, 00350, HELSINGFORS",2020-04-30
Zalmi Oy,3107816-9,Helsinki,Osakeyhtiö (OY),"Malmin Kauppatie, 6, 00700, HELSINGFORS",2020-01-08
JDG Kahvila Oy,3107868-7,Helsinki,Osakeyhtiö (OY),"Ketokiventie, 3, 00710, HELSINGFORS",2020-01-16
Outshine Holding Oy,3108035-7,Helsinki,Osakeyhtiö (OY),"Mikonkatu, 25, 00100, HELSINGFORS",2020-01-02
Almshwar Oy,3108037-3,Helsinki,Osakeyhtiö (OY),"Kaupparaitti, 13, 00700, HELSINGFORS",2020-01-02
Supernaiivi Oy,3108045-3,Helsinki,Osakeyhtiö (OY),"Vilhonvuorenkatu, 7-9, 00500, HELSINGFORS",2020-01-13
Lekantti Oy,3108056-8,Helsinki,Osakeyhtiö (OY),"Eteläesplanadi, 2, 00130, HELSINGFORS",2020-01-21
Little Italy Finland Oy,3108062-1,Helsinki,Osakeyhtiö (OY),"Pirjontie, 28, 00630, HELSINGFORS",2020-01-21
Sawas Oy,3108077-9,Helsinki,Osakeyhtiö (OY),"Pulttitie, 20, 00880, HELSINGFORS",2020-01-03
Talousarvo Oy,3108085-9,Helsinki,Osakeyhtiö (OY),"Fabianinkatu, 13, 00130, HELSINGFORS",2020-01-23
OAJK Management Oy,3108122-9,Helsinki,Osakeyhtiö (OY),"Mannerheimintie, 109, 00280, HELSINGFORS",2020-01-02
SonFly Oy,3108126-1,Helsinki,Osakeyhtiö (OY),"Tilanhoitajankaari, 6, 00790, HELSINGFORS",2020-01-03
Stadin Päällyste Oy,3108134-1,Helsinki,Osakeyhtiö (OY),"kiviportintie, 37, 00950, HELSINGFORS",2020-01-03
M&K GASHI OY,3108138-4,Helsinki,Osakeyhtiö (OY),"Töölönkatu, 11-15, 00100, HELSINGFORS",2020-01-15
Rosaol Oy,3108145-6,Helsinki,Osakeyhtiö (OY),"Merimiehenkatu, 6, 00120, HELSINGFORS",2020-01-03
Education ideas Finland Oy,3108154-4,Helsinki,Osakeyhtiö (OY),"Arkadiankatu, 36, 00100, HELSINGFORS",2020-01-17
Mestariteos Oy,3108175-5,Helsinki,Osakeyhtiö (OY),"Hämeentie, 38, 00500, HELSINGFORS",2020-01-07
Upcognify Oy,3108179-8,Helsinki,Osakeyhtiö (OY),"Ruohotie, 21, 00700, HELSINGFORS",2020-01-03
VaHe Oy,3108197-4,Helsinki,Osakeyhtiö (OY),"Merikorttikuja, 6, 00960, HELSINGFORS",2020-01-10
KA-sailing Oy,3108198-2,Helsinki,Osakeyhtiö (OY),"Lapinlahdenkatu, 25, 00180, HELSINGFORS",2020-01-03
Arvova Oy Ltd,3108217-6,Helsinki,Osakeyhtiö (OY),"Kansakoulukatu, 3, 00100, HELSINGFORS",2020-01-03
Becom Group Oy,3108253-9,Helsinki,Osakeyhtiö (OY),"Kaisaniemenkatu, 13, 00100, HELSINGFORS",2020-01-21
BoomPadel Oy,3108267-8,Helsinki,Osakeyhtiö (OY),"Berliininkatu, 9, 00560, HELSINGFORS",2020-01-08
Ivia Oy,3108268-6,Helsinki,Osakeyhtiö (OY),"Kuusikkotie, 4, 00630, HELSINGFORS",2020-01-08
Luova toimisto Koska Oy,3108273-1,Helsinki,Osakeyhtiö (OY),"Lautatarhankatu, 2, 00580, HELSINGFORS",2020-02-10
Mineo Hammaslaboratorio Oy,3108278-2,Helsinki,Osakeyhtiö (OY),"Dagmarinkatu, 13, 00100, HELSINGFORS",2020-01-07
Paula Välilä Oy,3108286-2,Helsinki,Osakeyhtiö (OY),"00101, HELSINGFORS",2020-01-03
Talousinfo Mertaoja Oy,3108294-2,Helsinki,Osakeyhtiö (OY),"Erottajankatu, 9, 00130, HELSINGFORS",2020-01-28
Firevex Oy,3108309-9,Helsinki,Osakeyhtiö (OY),"Ripusuontie, 6, 00660, HELSINGFORS",2020-01-07
Natura Lapponiae Oy,3108363-8,Helsinki,Osakeyhtiö (OY),"Kaj Franckin katu, 4, 00560, HELSINGFORS",2020-01-07
Pinny Taksipalvelu Oy,3108386-5,Helsinki,Osakeyhtiö (OY),"Lönnrotinkatu, 22, 00120, HELSINGFORS",2020-01-08
Chestnet Oy,3108443-8,Helsinki,Osakeyhtiö (OY),"Maakaari, 6, 00790, HELSINGFORS",2020-01-07
Habito Health Oy,3108481-7,Helsinki,Osakeyhtiö (OY),"Haartmaninkatu, 4, 00290, HELSINGFORS",2020-01-10
Loistavat valmentajat Oy,3108526-2,Helsinki,Osakeyhtiö (OY),"Tiilimäki, 32, 00330, HELSINGFORS",2020-01-08
Pks-vuokraus Oy,3108540-6,Helsinki,Osakeyhtiö (OY),"Minna Canthin katu, 5, 00250, HELSINGFORS",2020-01-09
JMM Invest-Trading Oy,3108541-4,Helsinki,Osakeyhtiö (OY),"Myllärintanhua, 6, 00920, HELSINGFORS",2020-01-09
Univelat Oy,3108561-7,Helsinki,Osakeyhtiö (OY),"Maneesikatu, 1-3, 00170, HELSINGFORS",2020-01-08
Consulting Wise Oy,3108577-2,Helsinki,Osakeyhtiö (OY),"Mannerheiminaukio, 1, 00100, HELSINGFORS",2020-01-09
Liffey Consulting Oy,3108580-1,Helsinki,Osakeyhtiö (OY),"Samoankuja, 2, 00220, HELSINGFORS",2020-01-08
8 Motors Oy,3108584-4,Helsinki,Osakeyhtiö (OY),"Kääpätie, 6, 00760, HELSINGFORS",2020-01-13
Autokorjaamo Elektra Oy,3108596-7,Helsinki,Osakeyhtiö (OY),"Mittatie, 20, 01260, VANDA",2020-01-08
Structbit Oy,3108704-9,Helsinki,Osakeyhtiö (OY),"Esterinportti, 1, 00240, HELSINGFORS",2020-02-07
Juustoansa Oy,3108730-5,Helsinki,Osakeyhtiö (OY),"Päivöläntie, 15, 00730, HELSINGFORS",2020-01-03
Celhur Oy,3108756-7,Helsinki,Osakeyhtiö (OY),"Rekipellontie, 10, 00940, HELSINGFORS",2020-01-17
Markus Vakkilainen Oy,3108866-6,Helsinki,Osakeyhtiö (OY),"Aleksis Kiven Katu, 20, 00500, HELSINGFORS",2020-02-05
Edunary Solutions Oy,3108874-6,Helsinki,Osakeyhtiö (OY),"Vilppulantie, 21, 00700, HELSINGFORS",2020-01-09
Tekijä Services Oy,3108883-4,Helsinki,Osakeyhtiö (OY),"Mannerheimintie, 94, 00250, HELSINGFORS",2020-01-27
Ipester Oy,3108909-5,Helsinki,Osakeyhtiö (OY),"Risto Rytin tie, 19, 00570, HELSINGFORS",2020-01-09
Listo Digital Oy,3108911-6,Helsinki,Osakeyhtiö (OY),"Liisankatu, 9, 00170, HELSINGFORS",2020-01-31
Tokko Group Oy,3108947-4,Helsinki,Osakeyhtiö (OY),"Nordenskiöldinkatu, 3a, 00250, HELSINGFORS",2020-01-30
Lääkäripalvelu Koivula Oy,3108964-2,Helsinki,Osakeyhtiö (OY),"Vanhaistentie, 7, 00420, HELSINGFORS",2020-01-09
Mobal Oy,3108992-5,Helsinki,Osakeyhtiö (OY),"Tehtaankatu, 27-29, 00150, HELSINGFORS",2020-01-10
International Daycare of Finland Oy,3109102-1,Helsinki,Osakeyhtiö (OY),"Virtarannankatu, 5, 00920, HELSINGFORS",2020-01-10
Pallukka Oy,3109114-4,Helsinki,Osakeyhtiö (OY),"Raisiontie, 6, 00280, HELSINGFORS",2020-01-10
Mansikkamäen hunaja Oy,3109118-7,Helsinki,Osakeyhtiö (OY),"Pilvenpyörteentie, 17, 00700, HELSINGFORS",2020-01-10
Haavi Global Oy,3109129-1,Helsinki,Osakeyhtiö (OY),"Kääpäkuja, 6, 00760, HELSINGFORS",2020-01-10
Interkontti Oy,3109136-3,Helsinki,Osakeyhtiö (OY),"Välimerenkatu, 13, 00180, HELSINGFORS",2020-01-10
Liiton Valtakunta Oy,3109185-7,Helsinki,Osakeyhtiö (OY),"Perämiehenkatu, 7, 00150, HELSINGFORS",2020-01-14
MX SUSHI OY,3109186-5,Helsinki,Osakeyhtiö (OY),"Uutiskatu, 3, 00240, HELSINGFORS",2020-01-13
Waumer Oy,3109190-2,Helsinki,Osakeyhtiö (OY),"Vapaamuurarinkuja, 1, 00570, HELSINGFORS",2020-01-29
Nuortenaurinko Hoitopalvelu Oy,3109194-5,Helsinki,Osakeyhtiö (OY),"Asiakkaankatu, 3, 00930, HELSINGFORS",2020-01-10
FCE Rakennus Oy,3109249-7,Helsinki,Osakeyhtiö (OY),"Vilppulantie, 10a, 00700, HELSINGFORS",2020-01-29
TX Software Consulting Oy,3109254-2,Helsinki,Osakeyhtiö (OY),"Siltasaarenkatu, 4, 00530, HELSINGFORS",2020-01-13
Aspire Brands OY,3109296-4,Helsinki,Osakeyhtiö (OY),"Korkeavuorenkatu, 35, 00130, HELSINGFORS",2020-01-16
Thin Crust Capital Oy,3109310-7,Helsinki,Osakeyhtiö (OY),"Vironkatu, 11, 00170, HELSINGFORS",2020-01-10
KKM Company Oy Ltd.,3109325-4,Helsinki,Osakeyhtiö (OY),"Juhannustie, 36, 00750, HELSINGFORS",2020-02-06
Haven Capital Oy,3109354-5,Helsinki,Osakeyhtiö (OY),"Katajaharjuntie, 22, 00200, HELSINGFORS",2020-01-10
